Chain,Landscape,[11],[12],[13],[14],[22],[23],[24],[33],[34],[44],[1],[1][1],[1][2],[1][3],[1][4],[2],[2][1],[2][2],[2][3],[2][4],[3],[3][1],[3][2],[3][3],[3][4],[4],[4][1],[4][2],[4][3],[4][4]
1by7_A,1,0.007289691500000148,0.005246632050000117,0.0038733751500000706,0.0036073989999999227,0.006002045850000161,0.003973997450000016,0.003859820899999885,0.005864134100000204,0.0029917750499998974,0.005749577300000172,0.0,-0.003644845750010257,-1.4408109273750196,-1.5508530630000186,-1.8577383537500092,0.0,1.435564295325009,-0.0030010229249998652,-0.5854156050499854,-0.9197139404999923,0.0,1.5469796878500026,0.5814416075999894,-0.0029320670499844745,-0.24100546520000254,0.0,1.8541309547500147,0.9158541195999771,0.23801369014999813,-0.002874788649990247
1cak_A,2,0.006525709100000229,0.005383885500000063,0.004772803949999947,0.0048712605000000376,0.006015599450000177,0.004823049649999973,0.00485029649999995,0.005666203650000149,0.004770971650000034,0.0056491360000001534,0.0,-0.003262854549980565,0.2287278026250001,-0.392427120325014,-0.673970395500002,0.0,-0.23411168812497657,-0.003007799724986394,-0.5905297961249943,-0.8754948744999989,0.0,0.3876543163749904,0.585706746474987,-0.0028331018250072493,-0.2863308062000162,0.0,0.669099134999989,0.8706445779999977,0.28155983455000405,-0.0028245679999915835
1cao_A,3,0.006187941800000152,0.005546859150000093,0.004964742199999959,0.004876514199999973,0.006105653900000186,0.005007221149999944,0.005024203649999949,0.005742156000000144,0.005047474200000076,0.005657073300000131,0.0,-0.0030939709000059193,-0.029302801199990146,-0.5884208334500071,-0.7795632652500079,0.0,0.023755942049983145,-0.0030528269499966684,-0.5895082805000036,-0.7419059969499981,0.0,0.5834560912499936,0.5845010593500091,-0.002871077999975675,-0.2345878638499713,0.0,0.7746867510500087,0.7368817933000054,0.22954038964999643,-0.0028285366500024924
1cng_A,4,0.006393374650000208,0.005609715250000091,0.004984788949999958,0.00496627490000005,0.006074179750000209,0.0051654600999999686,0.0050275489000000135,0.005721284950000136,0.005240234700000136,0.005649405950000124,0.0,-0.003196687325011021,-0.17618294802499604,-0.6256097226749981,-0.5852006811750045,0.0,0.17057323277500264,-0.00303708987500557,-0.5290221041750344,-0.48477536692502377,0.0,0.620624933725005,0.5238566440750162,-0.002860642474984433,-0.04388949347498687,0.0,0.5802344062749981,0.47974781802500566,0.03864925877500747,-0.0028247029750030953
1cnh_A,5,0.006275889100000178,0.005606061300000093,0.004858067049999938,0.004934229650000019,0.006087475050000218,0.005088434,0.005064248599999996,0.005769334050000146,0.004976643550000057,0.005568860850000088,0.0,-0.003137944550003759,-0.42243971712499606,-0.7912664720249959,-0.8923556662250075,0.0,0.41683365582501547,-0.003043737525010687,-0.48721429782501957,-0.5738948829750088,0.0,0.7864084049750045,0.48212586382499073,-0.0028846670250009068,-0.12942302122501462,0.0,0.8874214365749924,0.5688306343749894,0.12444637767500337,-0.0027844304249999025
1cnj_A,6,0.006745037600000158,0.005671452800000048,0.004824266299999983,0.0050804245999999656,0.006156148450000201,0.0047455784499999785,0.005046208749999938,0.005737424050000162,0.004852493449999944,0.005643027350000132,0.0,-0.0033725187999958566,-0.2422244660250024,-0.6497764672749924,-0.7351020136749961,0.0,0.23655301322499375,-0.003078074225004451,-0.414849603125008,-0.5089983736250121,0.0,0.6449522009749947,0.4101040246750221,-0.0028687120250099167,-0.07598365992501319,0.0,0.7300215890750078,0.5039521648749936,0.07113116647500299,-0.0028215136749983535
1fqm_A,7,0.006278618700000177,0.00549132760000007,0.005134519899999975,0.005065470399999991,0.005927336700000192,0.005093228700000014,0.005031735800000017,0.0056789960000001435,0.005121972700000079,0.005634386100000124,0.0,-0.003139309349998484,-0.1845934250999972,-0.6720817195499859,-0.6633114017999958,0.0,0.1791020975000265,-0.0029636683499811873,-0.5358091527999723,-0.5424035112499785,0.0,0.6669471996499843,0.5307159240999955,-0.0028394979999983336,0.0019487702499965595,0.0,0.6582459313999948,0.5373717754499956,-0.007070742949986822,-0.0028171930500077223
1fsn_A,8,0.007166818200000218,0.005224162449999978,0.004493141600000011,0.004898842049999984,0.005969394850000192,0.004573249800000041,0.004558930249999977,0.00572875905000014,0.004241978900000049,0.0056722870000001325,0.0,-0.0035834090999995183,0.009547831725005463,-0.7225462173750047,-0.7254689604499982,0.0,-0.01477199417499479,-0.0029846974250195032,-0.7395407373250104,-0.8099439778000067,0.0,0.7180530757749887,0.734967487524995,-0.0028643795249854577,-0.07696985459999438,0.0,0.7205701184000016,0.805385047550008,0.0727278757000056,-0.00283614350000053
1fsq_A,9,0.007078754500000219,0.00522587509999996,0.004718014749999983,0.004854467699999946,0.005854377300000172,0.004694073450000068,0.004774409549999967,0.005749997550000141,0.004386636349999971,0.005642696050000093,0.0,-0.003539377250000533,-0.4784103914499896,-0.9335670450250095,-1.0335273214750123,0.0,0.47318451634999364,-0.002927188649998353,-0.5113651501249955,-0.6705292401750111,0.0,0.9288490302749915,0.5066710766749983,-0.0028749987749851014,-0.2086703749250135,0.0,1.0286728537750112,0.6657548306249933,0.2042837385750041,-0.0028213480249952502
1fsr_A,10,0.006914356600000172,0.005065799200000016,0.004908965299999953,0.0045240550000000025,0.005933194750000172,0.004941015250000021,0.004613667550000079,0.005779210750000158,0.004592370550000021,0.005662583550000116,0.0,-0.003457178300014949,-0.7431690011749943,-0.9889408157749996,-1.1716164216249976,0.0,0.738103201975028,-0.0029665973749832338,-0.3586912114249787,-0.6493994919749955,0.0,0.9840318504749912,0.353750196174992,-0.002889605375004195,-0.4091960962249998,0.0,1.167092366625018,0.6447858244250029,0.4046037256749905,-0.002831291774989402
1fug_A,11,0.0064527251500001385,0.005171491600000098,0.004924647400000023,0.004498999000000073,0.005803872200000152,0.005267016750000047,0.00493764775000007,0.005647362350000113,0.004722573450000067,0.005622995500000073,0.0,-0.0032263625749643587,-1.8099956577499736,-2.2951234093750075,-1.9923195160999778,0.0,1.8048241661500148,-0.002901936099993383,-0.7630343888750136,-0.6182213352000054,0.0,2.290198761974991,0.757767372124979,-0.002823681175011287,0.0936529626999962,0.0,1.987820517099998,0.6132836874499827,-0.09837553614999749,-0.0028114977500035164
1g0e_A,12,0.006320241550000221,0.00547996915000006,0.0048111231499999504,0.0049468136499999805,0.005880421200000147,0.004925667599999966,0.005097620699999961,0.005710614300000148,0.0049364839000000365,0.00567467090000013,0.0,-0.0031601207749910824,-0.08949753669999638,-0.5215547897999921,-0.6491237322000152,0.0,0.08401756754999827,-0.0029402106000023867,-0.44843106770001184,-0.5939591126999904,0.0,0.5167436666500086,0.4435054001000093,-0.002855307149998995,-0.1655993347499845,0.0,0.6441769185499991,0.5888614919999994,0.160662850849984,-0.0028373354500021352
1g0f_A,13,0.006247617200000196,0.005614900350000141,0.004893076599999976,0.004825071000000034,0.0060791890500002015,0.005005066249999964,0.004949907550000007,0.005725520550000164,0.004818551899999956,0.005632630650000125,0.0,-0.0031238085999902294,-0.18000629207501134,-0.7027192095749973,-0.6743038695250059,0.0,0.17439139172500587,-0.003039594524993131,-0.5245445406249948,-0.5065157326749973,0.0,0.6978261329750035,0.519539474375001,-0.0028627602750063946,-0.060968539425010564,0.0,0.6694787985250035,0.501565825124992,0.05614998752500459,-0.00281631532500128
1gz0_A,14,0.0056795617500001415,0.0052327644000001155,0.00499273810000009,0.004753198350000117,0.005621850250000145,0.004777934550000098,0.00484595870000011,0.005588567700000133,0.004576165650000147,0.005500035150000116,0.0,-0.002839780875001549,0.1088326563750081,-0.004014849049992349,-0.2346681450249956,0.0,-0.11406542077500957,-0.002810925125008382,-0.07484185505000555,-0.27593198992500784,0.0,-0.0009778890499791506,0.07006392049999934,-0.002794283849990264,-0.23678725992500302,0.0,0.22991494667500656,0.2710860312250006,0.2322110942750001,-0.0027500175750060883
1hva_A,15,0.006258257600000178,0.0053409301499999454,0.0048908697500000065,0.004631444100000022,0.006183260800000202,0.004606774949999885,0.0046090028500000305,0.005851533100000165,0.004135135449999988,0.005667996850000131,0.0,-0.0031291287999976793,-0.6152930296999928,-0.7326295884999988,-0.9661986179249963,0.0,0.6099520995499783,-0.003091630399998895,-0.13358465969998465,-0.48882636522500106,0.0,0.7277387187499946,0.12897788474998298,-0.0029257665500135787,-0.4587693675249954,0.0,0.9615671738250053,0.48421736237499324,0.4546342320750001,-0.0028339984250073803
1if7_A,16,0.006186485850000196,0.005530304700000123,0.005111144499999988,0.00481728694999992,0.006093604300000192,0.005079839899999957,0.004926476349999919,0.005749580800000184,0.005150188850000051,0.0056602908500001155,0.0,-0.0030932429249899574,-0.004420599300000492,-0.7753873634000249,-0.8063040273750123,0.0,-0.0011097053999845473,-0.0030468021499844514,-0.7861034775500155,-0.7975242569250076,0.0,0.7702762188999961,0.7810236376500095,-0.0028747904000069797,-0.10756093532499841,0.0,0.8014867404249811,0.792597780575001,0.10241074647499587,-0.0028301454250004034
1if9_A,17,0.0060314459000001515,0.0055048960500001815,0.004902760199999981,0.0048365689999999625,0.005980970600000157,0.004880112699999944,0.004798792599999945,0.005646049400000103,0.004910587800000092,0.005557259900000101,0.0,-0.0030157229500112005,0.1164406110500105,-0.39307488199998813,-0.5788624001499869,0.0,-0.12194550710000228,-0.0029904853000044954,-0.4505719000000015,-0.6330191390499997,0.0,0.38817212180000676,0.44569178730000275,-0.0028230247000050925,-0.19439491454999946,0.0,0.5740258311499984,0.6282203464500036,0.18948432675000826,-0.0027786299500032426
1ipa_A,18,0.041973174750000015,0.0010559563999999982,0.0008673397500000328,0.000741558200000055,0.00565237350000013,0.005011159850000074,0.004151479300000091,0.005512339750000135,0.004094449100000104,0.005318210150000119,0.0,-0.020986587375007196,-4.161200601600002,-3.7995684547749984,-3.4365087848749947,0.0,4.160144645199999,-0.0028261867499897626,-0.41492215272501093,-0.7242827899250085,0.0,3.7987011150249974,0.40991099287500665,-0.002756169875011681,-0.4062562162749971,0.0,3.4357672266749892,0.7201313106250071,0.40216176717499663,-0.0026591050750133707
1j85_A,19,0.009088268800000203,0.00438351080000003,0.0040133668499999844,0.0035613103500000787,0.005638065000000176,0.003920677000000047,0.003410006400000016,0.004999678200000112,0.003915318649999967,0.00452644405000007,0.0,-0.004544134400000151,-0.11540441244999056,-0.8294473205999919,-0.8452812430750021,0.0,0.11102090164999995,-0.002819032499996551,-0.7738138359999994,-0.7523809511250052,0.0,0.825433953749999,0.7698931589999924,-0.0024998390999968513,-0.0777587579249973,0.0,0.8417199327250023,0.7489709447249959,0.07384343927500013,-0.0022632220249939796
1js1_X,20,0.006903822000000198,0.004489479300000025,0.004128795850000018,0.004197230400000031,0.005623207450000064,0.004978210300000027,0.004994367750000072,0.005526381750000071,0.0048595058000000455,0.0055030248500000725,0.0,-0.003451910999990103,-2.7930253874750046,-2.320781621024991,-2.378613975724992,0.0,2.7885359081749965,-0.002811603725001808,0.2127756097249949,0.1282843078249858,0.0,2.3166528251749896,-0.21775382002499016,-0.0027631908749874215,-0.06579966167499869,0.0,2.374416745324987,-0.13327867557499887,0.06094015587500461,-0.0027515124249891713
1k3r_A,21,0.005760217950000114,0.004732219300000039,0.004539524200000016,0.0044379467500000585,0.005560442100000049,0.004891861800000018,0.00481859085000002,0.005458230350000044,0.004603415000000049,0.0053282888500000404,0.0,-0.0028801089750064,-0.1887025091000076,-0.29040871322500256,-0.18406129042500755,0.0,0.1839702897999895,-0.002780221050001868,-0.11633439847500796,-0.013294051575003062,0.0,0.28586918902499653,0.11144253667500383,-0.002729115175012346,0.09024133232500041,0.0,0.17962334367499375,0.008475460725010759,-0.09484474732499659,-0.0026641444250019484
1mxa_A,22,0.06634089005000005,0.005299449000000003,0.004789592550000032,0.00486068790000001,0.0056004436000000974,0.004613357049999994,0.004789192649999999,0.0055702874000000836,0.004614132849999983,0.005352975150000012,0.0,-0.033170445025000134,-0.6922846790500085,-1.4291606227500129,-1.4285760064250113,0.0,0.6869852300500146,-0.002800221799991133,-0.7185391454000066,-0.6844331184749912,0.0,1.4243710301999934,0.7139257883499895,-0.00278514370000014,-0.0015030528749909215,0.0,1.4237153185249993,0.6796439258250064,-0.003111079974996274,-0.0026764875750004305
1mxb_A,23,0.0583894128000011,0.005299428550000051,0.005022248100000019,0.004701154450000023,0.005586377700000075,0.004878267949999979,0.004537525400000033,0.005570849100000089,0.004280528650000012,0.005476126700000044,0.0,-0.02919470640001265,-0.2969305160500064,-0.8314361513500206,-0.8923753491499878,0.0,0.2916310874999811,-0.0027931888499959866,-0.47794573184999545,-0.5328635876500029,0.0,0.8264139032500017,0.47306746389999516,-0.002785424550000137,-0.0635104328499994,0.0,0.8876741947000099,0.5283260622500011,0.0592299041999971,-0.0027380633500041526
1mxc_A,24,0.03371363175000056,0.005347198550000044,0.005045313700000003,0.004965843699999994,0.005631099400000117,0.004854160650000005,0.0048152943500000146,0.005598825550000095,0.004563997699999984,0.005456055650000049,0.0,-0.016856815875006134,-0.5444529890500026,-1.1010960002250054,-1.007134314724999,0.0,0.5391057904999895,-0.0028155496999784195,-0.5442442545750031,-0.46649971992501016,0.0,1.0960506865249922,0.5393900939250087,-0.0027994127750003346,0.09729761602500298,0.0,1.0021684710250225,0.4616844255749926,-0.10186161372498938,-0.002728027825009154
1mxi_A,25,0.009427467700000192,0.004563166149999966,0.005001196950000085,0.003975291800000061,0.005946729650000187,0.004398183250000038,0.003760793850000072,0.005597851400000189,0.003918033649999988,0.0049207182000000835,0.0,-0.004713733850011455,-0.517406545775016,-0.6823677427999933,-0.9091926889000219,0.0,0.5128433796250045,-0.0029733648250008914,-0.28053894399999213,-0.4630909119999983,0.0,0.6773665458499918,0.276140760750006,-0.0027989256999920754,-0.2720268322000005,0.0,0.9052173971000006,0.4593301181499987,0.26810879854999364,-0.0024603590999951407
1ns5_A,26,0.008339303150000235,0.005238924000000134,0.004385440100000014,0.004131398399999994,0.00551466925000017,0.004555111949999976,0.004354106949999972,0.004801088550000071,0.004484292749999976,0.004549031349999983,0.0,-0.004169651574996079,-0.6607722861250008,-1.2736693122749916,-1.536507222224987,0.0,0.6555333621250106,-0.002757334625004422,-0.7610901315749943,-1.0776264983749921,0.0,1.2692838721749973,0.75653501962499,-0.0024005442749976437,-0.4016137204749985,0.0,1.5323758238249987,1.0732723914249922,0.3971294277249938,-0.0022745156749997483
1nxz_A,27,0.006293947700000139,0.005497351400000085,0.005118680550000037,0.003032830599999986,0.005887653300000178,0.005123604050000117,0.0029664222499999958,0.0055880458500001265,0.002725314649999972,0.005466384250000104,0.0,-0.0031469738499945296,0.4814945916500009,0.24859221242500742,-0.035182929925005726,0.0,-0.4869919430499917,-0.002943826649995626,-0.16641372157498394,-0.3659818154250043,0.0,-0.25371089297499616,0.1612901175249931,-0.0027940229250095375,-0.18091622927498735,0.0,0.032150099324980475,0.3630153931749825,0.17819091462498968,-0.002733192125003247
